about;Internet Explorer
appinstaller.oauth2;
armodelviewing;
bingmaps;
bingnews;
bingweather;
bitwarden;Bitwarden
calculator;
cdl;Internet Explorer
com.clipchamp.app;
com.microsoft.3dviewer;
Discord;Discord
DLNA-PLAYSINGLE;Sistema operativo Microsoft® Windows®
dvd;DirectShow
Explorer.AssocActionId.BurnSelection;Sistema operativo Microsoft® Windows®
Explorer.AssocActionId.EraseDisc;Sistema operativo Microsoft® Windows®
Explorer.AssocActionId.ZipSelection;Sistema operativo Microsoft® Windows®
Explorer.AssocProtocol.search-ms;Sistema operativo Microsoft® Windows®
Explorer.BurnSelection;
Explorer.EraseDisc;
Explorer.ZipSelection;
feedback-hub;
file;Internet Explorer
file;
FirefoxURL-308046B0AF4A39CB;Firefox
ftp;Internet Explorer
ftp;Internet Explorer
grvopen;
http;Internet Explorer
http;Internet Explorer
https;Internet Explorer
https;Internet Explorer
IE.HTTP;Internet Explorer
iehistory;
ierss;
insiderhub;
its;Microsoft® Windows® Operating System
javascript;Internet Explorer
LDAP;Microsoft® Windows® Operating System
local;Internet Explorer
mailto;Internet Explorer
mailto;Thunderbird
mapi;
mhtml;Microsoft® Windows® Operating System
microsoft-edge;
microsoft-edge-holographic;
microsoft.windows.camera;
microsoft.windows.camera.multipicker;
microsoft.windows.camera.picker;
microsoft.windows.photos.crop;
microsoft.windows.photos.picker;
microsoft.windows.photos.videoedit;
Microsoft.Workfolders;Microsoft® Windows® Operating System
microsoftmusic;
microsoftsolitairecollection;
microsoftvideo;
mid;Thunderbird
mk;Internet Explorer
mk;
MMS;Sistema operativo Microsoft® Windows®
ms-aad-brokerplugin;
ms-actioncenter;
ms-appinstaller;
ms-apprep;
ms-availablenetworks;Microsoft® Windows® Operating System
ms-calculator;
ms-clock;
ms-contact-support;
ms-cortana2;
ms-cxh;
ms-cxh-full;
ms-default-location;
ms-device-enrollment;
ms-device-enrollment2;
ms-drive-to;
ms-eyecontrolspeech;
ms-family;
ms-gamebar;
ms-gamebarservices;
ms-gamingoverlay;
ms-get-started;
ms-getoffice;
ms-holographicfirstrun;
ms-inputapp;
ms-insights;
ms-ipmessaging;
ms-its;Microsoft® Windows® Operating System
ms-lwh;
ms-meetnow;
ms-meetnowflyout;
ms-mmsys;Sistema operativo Microsoft® Windows®
ms-msdt;Sistema operativo Microsoft® Windows®
ms-msime-imepad;Microsoft® Windows® Operating System
ms-msime-imjpdct;Microsoft® Windows® Operating System
ms-newsandinterests;
ms-officeapp;
ms-officecmd;
ms-oobenetwork;
ms-outlook;
ms-paint;
ms-penworkspace;
ms-people;
ms-perception-simulation;Microsoft® Windows® Operating System
ms-phone;
ms-photos;
ms-playto-audio;
ms-powerautomate;
ms-powerautomatedesigner;
ms-print-addprinter;
ms-print-printjobs;
ms-print-queue;
ms-quick-assist;
ms-rdx-document;
ms-retaildemo-launchbioenrollment;
ms-retaildemo-launchstart;
ms-screenclip;
ms-screensketch;
ms-search;
ms-settings;
ms-settings-airplanemode;
ms-settings-bluetooth;
ms-settings-cellular;
ms-settings-connectabledevices;Microsoft® Windows® Operating System
ms-settings-displays-topology;Microsoft® Windows® Operating System
ms-settings-emailandaccounts;
ms-settings-language;
ms-settings-location;
ms-settings-lock;
ms-settings-mobilehotspot;
ms-settings-notifications;
ms-settings-power;
ms-settings-privacy;
ms-settings-proximity;
ms-settings-screenrotation;
ms-settings-wifi;
ms-settings-workplace;
ms-stickereditor;
ms-sttoverlay;
ms-taskswitcher;
ms-teams;
ms-to-do;
ms-todo;
ms-unistore-email;
ms-virtualtouchpad;Microsoft® Windows® Operating System
ms-voip-call;
ms-voip-video;
ms-walk-to;
ms-wcrv;
ms-widgets;
ms-windows-search;
ms-windows-store;
ms-windows-store-deskext;
ms-windows-store2;
ms-wpc;
ms-wpdrmv;
ms-wxh;
ms-xbet-survey;
ms-xbl-3d8b930f;
ms-xgpueject;
msgamepass;
msgamingapp;
msnews;
msnnews;
msnweather;
mswindowsmusic;
mswindowsvideo;
msxbox;
netflix;
news;Thunderbird
nh3-msi;
nntp;Thunderbird
onenote;
onenote-cmd;
outlookaccounts;
outlookcal;
outlookmail;
read;
res;
res;Internet Explorer
rlogin;Sistema operativo Microsoft® Windows®
search;Sistema operativo Microsoft® Windows®
search-ms;Sistema operativo Microsoft® Windows®
skype;
skypewin;
snews;Thunderbird
tbauth;Microsoft® Windows® Operating System
tbauth;
tel;
telnet;Sistema operativo Microsoft® Windows®
tn3270;Sistema operativo Microsoft® Windows®
tv;DirectShow
vbscript;Internet Explorer
vmrc;VMware Workstation
vmware-rvm;VMware Workstation
vnd.libreoffice.command;LibreOffice
vscode;Visual Studio Code
webcal;
webcals;
whatsapp;
windows-feedback;
windows.tbauth;Microsoft® Windows® Operating System
windows.tbauth;
windowsdefender;
WMP11.AssocProtocol.DLNA-PLAYSINGLE;Sistema operativo Microsoft® Windows®
WMP11.AssocProtocol.MMS;Sistema operativo Microsoft® Windows®
xbls;
xbox;
xbox-arena;
xbox-captures;
xbox-friendfinder;
xbox-gamehub;
xbox-lfg;
xbox-network;
xbox-profile;
xbox-settings;
xbox-store;
xbox-tcui;
xboxgames;
xboxliveapp-1297287741;
xboxmusic;
zune;
